league,date,game,actual,line,postPrediction,edge,overProbability,underProbability,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta,draftConfidence,draftSignal,draftSignalReason,topPickEffects
LCK,2026-04-29,Nongshim RedForce vs T1,31,31.5,31.17,-0.33,0.4841,0.5159,-0.1286,-0.0714,,EV baixo,under,,0,-0.51,0.805,neutral,under bloqueado,SUP Karma -2.8 | ADC Ezreal -1.85 | JUNGLE Jarvan IV -1.43 | JUNGLE Xin Zhao -1.4 | TOP Sion +1.32
LCK,2026-04-29,T1 vs Nongshim RedForce,36,31.5,31.74,0.24,0.5114,0.4886,-0.0795,-0.1205,,EV baixo,over,,0,-0.16,0.699,neutral,under bloqueado,JUNGLE Pantheon -2.39 | SUP Renata Glasc +1.01 | SUP Lulu -0.89 | ADC Kalista +0.82 | MID Twisted Fate -0.73
LCK,2026-04-29,KT Rolster vs Hanwha Life Esports,35,31.5,30.41,-1.09,0.4472,0.5528,-0.195,-0.005,,EV baixo,over,,0,-1.26,0.805,neutral,under bloqueado,JUNGLE Pantheon -2.41 | ADC Ezreal -2.01 | SUP Seraphine -2.01 | ADC Ashe -1.77 | TOP Yorick -1.21
LCK,2026-04-29,Hanwha Life Esports vs KT Rolster,28,32.5,31.52,-0.98,0.4524,0.5476,-0.1857,-0.0143,,EV baixo,under,,0,-1.11,0.761,neutral,under bloqueado,ADC Lucian -2.07 | JUNGLE Jarvan IV -1.76 | JUNGLE Xin Zhao -1.73 | TOP Renekton -1.34 | SUP Milio -1.32
LCK,2026-04-30,Gen.G vs Kiwoom DRX,25,31.5,29.62,-1.88,0.409,0.591,-0.2638,0.0638,under,EV + edge,under,true,0.8,-1.48,0.83,neutral,under bloqueado,JUNGLE Pantheon -2.25 | ADC Ezreal -1.87 | SUP Seraphine -1.81 | JUNGLE Jarvan IV -1.63 | ADC Ashe -1.57
LCK,2026-04-30,Kiwoom DRX vs Gen.G,43,29.5,29.25,-0.25,0.4877,0.5123,-0.1222,-0.0778,,EV baixo,over,,0,-0.73,0.769,neutral,under bloqueado,ADC Lucian -1.96 | MID Ryze -1.77 | SUP Milio -1.29 | JUNGLE Vi +1.14 | JUNGLE Wukong -0.9
LCK,2026-04-30,Kiwoom DRX vs Gen.G,24,31.5,30.66,-0.84,0.4592,0.5408,-0.1734,-0.0266,,EV baixo,under,,0,-0.89,0.714,neutral,under bloqueado,JUNGLE Xin Zhao -1.88 | ADC Miss Fortune -1.73 | SUP Bard -1.72 | ADC Jhin -1.34 | TOP KSante -1.28
LCK,2026-04-30,BNK FearX vs Dplus KIA,28,31.5,31.06,-0.44,0.4783,0.5217,-0.139,-0.061,,EV baixo,under,,0,-0.35,0.766,neutral,under bloqueado,JUNGLE Lee Sin +1.68 | JUNGLE Jarvan IV -1.65 | MID Ryze -1.57 | SUP Yuumi +1.36 | TOP KSante -1.19
LCK,2026-04-30,BNK FearX vs Dplus KIA,22,30.5,29.62,-0.88,0.4571,0.5429,-0.1772,-0.0228,,EV baixo,under,,0,-0.77,0.798,neutral,under bloqueado,SUP Seraphine -1.78 | ADC Ezreal -1.75 | ADC Ashe -1.54 | JUNGLE Xin Zhao -1.52 | TOP Gnar -1.28
LCK,2026-05-01,HANJIN BRION vs DN SOOPers,15,28.5,28.08,-0.42,0.4794,0.5206,-0.1371,-0.0629,,EV baixo,under,,0,-0.91,0.826,neutral,under bloqueado,JUNGLE Xin Zhao -1.27 | JUNGLE Jarvan IV -1.17 | TOP Gnar -1.11 | ADC Lucian -0.95 | TOP Renekton -0.93
