"league","date","patch","game","actualKills","prePrediction","preAbsError","preLine245Side","preLine245Hit","postPrediction","postAbsError","postLine245Side","postLine245Hit","teamAPicks","teamBPicks"
"LEC","2026-05-25","16.10","Movistar KOI vs G2 Esports","35","28,22","6,78","OVER","True","28,34","6,66","OVER","True","Varus|Trundle|Ryze|Caitlyn|Nami","Yasuo|Skarner|Taliyah|Yunara|Lulu"
"LEC","2026-05-25","16.10","Movistar KOI vs G2 Esports","27","28,22","1,22","OVER","True","28,46","1,46","OVER","True","Anivia|Nocturne|Galio|Kaisa|Nautilus","Yone|Jarvan IV|Cassiopeia|Ezreal|Leona"
"LEC","2026-05-24","16.10","Movistar KOI vs Team Vitality","17","28,15","11,15","OVER","False","28,34","11,34","OVER","False","Varus|Lee Sin|Taliyah|Xayah|Rakan","Olaf|Jayce|Annie|Lucian|Milio"
"LEC","2026-05-24","16.10","Movistar KOI vs Team Vitality","25","28,15","3,15","OVER","True","28,37","3,37","OVER","True","Renekton|Nocturne|Akali|Caitlyn|Neeko","Gragas|Xin Zhao|Ryze|Miss Fortune|Bard"
"LEC","2026-05-24","16.10","Movistar KOI vs Team Vitality","18","28,15","10,15","OVER","False","28,02","10,02","OVER","False","Rumble|Wukong|Cassiopeia|Ashe|Seraphine","Anivia|Vi|Syndra|Ezreal|Nami"
"LEC","2026-05-23","16.10","G2 Esports vs Karmine Corp","33","28,50","4,50","OVER","True","28,41","4,59","OVER","True","Gragas|Aatrox|Ahri|Varus|Alistar","Ambessa|Trundle|Brand|Jhin|Rakan"
"LEC","2026-05-23","16.10","G2 Esports vs Karmine Corp","36","28,50","7,50","OVER","True","28,26","7,74","OVER","True","Gnar|Lee Sin|LeBlanc|Yunara|Lulu","Twisted Fate|Naafiri|Azir|Corki|Nami"
"LEC","2026-05-23","16.10","G2 Esports vs Karmine Corp","12","28,50","16,50","OVER","False","28,58","16,58","OVER","False","Galio|Skarner|Ryze|Ezreal|Karma","Rumble|Wukong|Annie|Miss Fortune|Neeko"
"LEC","2026-05-23","16.10","G2 Esports vs Karmine Corp","38","28,50","9,50","OVER","True","28,74","9,26","OVER","True","Cassiopeia|Xin Zhao|Anivia|Smolder|Nautilus","Yone|Vi|Taliyah|Ashe|Seraphine"
"LEC","2026-05-10","16.9","G2 Esports vs Movistar KOI","44","28,65","15,35","OVER","True","28,50","15,50","OVER","True","KSante|Lee Sin|LeBlanc|Miss Fortune|Seraphine","Anivia|Xin Zhao|Galio|Ashe|Rell"
"LEC","2026-05-10","16.9","Movistar KOI vs G2 Esports","32","28,65","3,35","OVER","True","28,66","3,34","OVER","True","Gnar|Jarvan IV|Lissandra|Kaisa|Nautilus","Vayne|Skarner|Ahri|Sivir|Lulu"
"LEC","2026-05-10","16.9","G2 Esports vs Movistar KOI","27","28,65","1,65","OVER","True","28,82","1,82","OVER","True","Ornn|Nocturne|Ryze|Ezreal|Karma","Rumble|Pantheon|Azir|Yunara|Rakan"
"LCS","2026-05-24","16.10","Team Liquid vs LYON","14","26,52","12,52","OVER","False","26,62","12,62","OVER","False","Jax|RekSai|Annie|Aphelios|Sona","Poppy|Trundle|Taliyah|Jinx|Bard"
"LCS","2026-05-24","16.10","LYON vs Team Liquid","13","26,52","13,52","OVER","False","26,39","13,39","OVER","False","Gnar|Ornn|Cassiopeia|Smolder|Nami","Renekton|Naafiri|Orianna|Corki|Rakan"
"LCS","2026-05-24","16.10","LYON vs Team Liquid","35","26,52","8,48","OVER","True","26,31","8,69","OVER","True","Malphite|Xin Zhao|Sylas|Caitlyn|Braum","Jayce|Jarvan IV|Twisted Fate|Mel|Pantheon"
"LCS","2026-05-24","16.10","Team Liquid vs LYON","26","26,52","0,52","OVER","True","26,50","0,50","OVER","True","Ambessa|Vi|Aurora|Lucian|Milio","Rumble|Sejuani|Yone|Senna|Nautilus"
"LCS","2026-05-24","16.10","Team Liquid vs LYON","13","26,52","13,52","OVER","False","26,66","13,66","OVER","False","Shen|Lee Sin|Ryze|Ezreal|Rell","Sion|Wukong|Anivia|Jhin|Karma"
"LCS","2026-05-23","16.10","FlyQuest vs Cloud9","27","27,09","0,09","OVER","True","27,26","0,26","OVER","True","Akali|Dr. Mundo|Azir|Kalista|Renata Glasc","Gnar|Sejuani|Swain|Jhin|Alistar"
"LCS","2026-05-23","16.10","FlyQuest vs Cloud9","28","27,09","0,91","OVER","True","26,96","1,04","OVER","True","Quinn|Nocturne|Taliyah|Ezreal|Neeko","Renekton|Wukong|Aurora|Yunara|Karma"
"LCS","2026-05-23","16.10","Cloud9 vs FlyQuest","17","27,09","10,09","OVER","False","27,32","10,32","OVER","False","Twisted Fate|Ambessa|Hwei|Senna|Nautilus","KSante|Shyvana|Sylas|Sivir|Lulu"
"LCS","2026-05-23","16.10","Cloud9 vs FlyQuest","22","27,09","5,09","OVER","False","26,75","4,75","OVER","False","Yorick|Naafiri|Annie|Ashe|Seraphine","Jayce|Jarvan IV|Ryze|Caitlyn|Bard"
"LCS","2026-05-23","16.10","FlyQuest vs Cloud9","13","27,09","14,09","OVER","False","27,23","14,23","OVER","False","Rumble|Xin Zhao|Viktor|Lucian|Milio","Sion|Lee Sin|Cassiopeia|Corki|Nami"
"LCS","2026-05-17","16.10","LYON vs FlyQuest","29","27,27","1,73","OVER","True","27,18","1,82","OVER","True","Yorick|Vi|Aurora|Yunara|Rakan","Rumble|Nasus|Annie|Aphelios|Lulu"
"LCS","2026-05-17","16.10","FlyQuest vs LYON","16","27,27","11,27","OVER","False","27,14","11,14","OVER","False","KSante|Jarvan IV|Viktor|Corki|Nami","Anivia|Sejuani|Yone|Caitlyn|Neeko"
"LCS","2026-05-17","16.10","LYON vs FlyQuest","39","27,27","11,73","OVER","True","27,54","11,46","OVER","True","Sion|Nocturne|Sylas|Lucian|Milio","Jayce|Ambessa|Orianna|Senna|Nautilus"
"LCS","2026-05-17","16.10","Sentinels vs Dignitas","26","25,70","0,30","OVER","True","25,62","0,38","OVER","True","Renekton|Skarner|Hwei|Varus|Bard","Ornn|Naafiri|Annie|Ashe|Seraphine"
"LCS","2026-05-17","16.10","Dignitas vs Sentinels","10","25,70","15,70","OVER","False","25,57","15,57","OVER","False","Shen|Xin Zhao|Ryze|Lucian|Milio","Sion|Jarvan IV|Anivia|Caitlyn|Lux"
