league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,25,32.5,31.5,-1.32,UNDER,-7.5,7.5,false,0.764,ADC Lucian -1.96 | JUNGLE Skarner -1.78 | TOP Renekton -1.77 | SUP Nami -1.73 | MID Aurora -1.56
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,38,32.5,30.5,-1.05,UNDER,5.5,5.5,true,0.863,JUNGLE Xin Zhao -2.6 | SUP Bard -2.05 | JUNGLE Lee Sin +1.69 | SUP Karma -1.68 | ADC Ezreal -1.61
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,17,33.5,32.5,-0.83,UNDER,-16.5,16.5,false,0.856,TOP Gnar -2.22 | MID Ryze -2.08 | ADC Lucian -2.07 | SUP Milio -1.54 | ADC Yunara -1.19
LCK,2026-05-17,Kiwoom DRX vs HANJIN BRION,35,31.5,31.5,-0.52,NEUTRO,3.5,3.5,true,0.82,SUP Elise +1.79 | JUNGLE Jarvan IV -1.43 | MID Viktor -1.09 | TOP Yorick -0.92 | TOP Jayce -0.77
LCK,2026-05-20,T1 vs Kiwoom DRX,29,33.5,32.5,-0.53,NEUTRO,-4.5,4.5,false,0.84,ADC Lucian -2.04 | MID Ryze -1.84 | SUP Milio -1.56 | ADC Yunara -0.98 | JUNGLE Vi +0.64
LCK,2026-05-20,T1 vs Kiwoom DRX,34,32.5,32.5,-0.31,NEUTRO,1.5,1.5,true,0.776,JUNGLE Lee Sin +2.05 | JUNGLE Skarner -1.74 | SUP Karma -1.23 | ADC Ezreal -1.21 | MID Viktor -0.87
LCK,2026-05-20,Kiwoom DRX vs T1,31,33.5,33.5,-0.38,NEUTRO,-2.5,2.5,false,0.799,MID Orianna -2.56 | JUNGLE Xin Zhao -2.33 | TOP Yorick -0.93 | ADC Kalista +0.92 | TOP Jayce -0.9
LCK,2026-05-20,Nongshim RedForce vs KT Rolster,25,32.5,31.5,-0.67,NEUTRO,-7.5,7.5,false,0.851,ADC Lucian -2.07 | JUNGLE Lee Sin +1.96 | MID Ryze -1.87 | SUP Milio -1.6 | SUP Nami -1.58
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,30,31.5,30.5,-1.16,UNDER,-1.5,1.5,false,0.878,JUNGLE Xin Zhao -2.03 | TOP Gnar -1.74 | JUNGLE Jarvan IV -1.29 | SUP Lulu -1.27 | TOP Renekton -1.05
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,33,31.5,30.5,-0.7,NEUTRO,1.5,1.5,true,0.814,SUP Bard -1.48 | JUNGLE Pantheon -1.43 | JUNGLE Skarner -1.43 | SUP Karma -0.99 | MID Twisted Fate -0.76
LCK,2026-05-21,BNK FearX vs Hanwha Life Esports,44,30.5,30.5,-0.37,NEUTRO,13.5,13.5,true,0.831,JUNGLE Xin Zhao -2.09 | MID Ryze -1.76 | SUP Karma -1 | JUNGLE Vi +0.71 | TOP Rumble +0.6
LCK,2026-05-21,Hanwha Life Esports vs BNK FearX,21,31.5,29.5,-1.85,UNDER,-10.5,10.5,false,0.837,ADC Lucian -2.52 | SUP Seraphine -2.48 | ADC Ashe -2.42 | SUP Milio -2.06 | JUNGLE Pantheon -2.01
LCK,2026-05-21,Dplus KIA vs HANJIN BRION,33,28.5,28.5,-0.65,NEUTRO,4.5,4.5,true,0.863,MID Orianna -2.43 | JUNGLE Pantheon -1.69 | SUP Bard -1.58 | JUNGLE Jarvan IV -1.47 | ADC Ezreal -1.26
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,18,29.5,29.5,-0.37,NEUTRO,-11.5,11.5,false,0.851,SUP Seraphine -2.3 | ADC Ashe -2.24 | JUNGLE Xin Zhao -2.11 | SUP Lux +1.49 | TOP Jayce -0.92
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,20,28.5,28.5,-0.17,NEUTRO,-8.5,8.5,false,0.845,JUNGLE Naafiri +0.83 | TOP Renekton -0.82 | SUP Neeko +0.63 | TOP Illaoi -0.6 | ADC Yunara -0.55
LCK,2026-05-22,DN SOOPers vs Kiwoom DRX,22,28.5,28.5,-0.13,NEUTRO,-6.5,6.5,false,0.834,TOP Rumble +1.7 | ADC Lucian -1.63 | JUNGLE Xin Zhao -1.26 | SUP Milio -1.22 | ADC Miss Fortune +1.02
LCK,2026-05-22,Kiwoom DRX vs DN SOOPers,28,27.5,28.5,0.5,NEUTRO,0.5,0.5,true,0.857,JUNGLE Lee Sin +2.71 | ADC Sivir +1.73 | SUP Nautilus +1.46 | TOP Gnar -0.79 | JUNGLE Pantheon -0.52
LCK,2026-05-22,KT Rolster vs Gen.G,17,29.5,29.5,0.2,NEUTRO,-12.5,12.5,false,0.864,TOP Sion +1.43 | SUP Nami -0.91 | JUNGLE Naafiri +0.91 | MID Anivia +0.81 | JUNGLE Pantheon -0.5
LCK,2026-05-22,KT Rolster vs Gen.G,28,28.5,28.5,0.44,NEUTRO,-0.5,0.5,false,0.836,SUP Nautilus +1.87 | JUNGLE Nocturne +1.52 | MID Cassiopeia +1.11 | MID Galio -0.98 | SUP Seraphine -0.77
LCK,2026-05-23,Dplus KIA vs BNK FearX,16,26.5,26.5,0.01,NEUTRO,-10.5,10.5,false,0.872,TOP Sion +1.56 | ADC Lucian -1.09 | ADC Caitlyn +1.06 | MID Orianna -0.94 | SUP Milio -0.73
LCK,2026-05-23,BNK FearX vs Dplus KIA,37,25.5,26.5,0.76,OVER,11.5,11.5,true,0.87,JUNGLE Lee Sin +2.8 | TOP Rumble +2.38 | MID Ahri +0.89 | ADC Ezreal +0.76 | TOP Ambessa +0.69
LCK,2026-05-23,Dplus KIA vs BNK FearX,24,26.5,27.5,0.72,NEUTRO,-2.5,2.5,false,0.819,SUP Poppy +1.73 | SUP Alistar +1.45 | ADC Miss Fortune +1.31 | TOP Jayce +0.62 | JUNGLE Skarner -0.61
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,43,28.5,29.5,0.79,OVER,14.5,14.5,true,0.865,TOP Rumble +2.36 | MID Akali +1.34 | ADC Lucian -1.19 | JUNGLE Wukong +1.1 | MID Annie +1.08
LCK,2026-05-23,Nongshim RedForce vs Hanwha Life Esports,54,29.5,30.5,0.49,NEUTRO,24.5,24.5,true,0.852,JUNGLE Vi +1.67 | SUP Pyke +1.32 | SUP Nautilus +1.31 | ADC Ziggs +1.23 | ADC Ashe -1.04
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,36,31.5,30.5,-1.3,UNDER,4.5,4.5,true,0.878,SUP Nami -2.2 | TOP Gnar -2.04 | MID Ryze -1.94 | JUNGLE Lee Sin +1.9 | JUNGLE Jarvan IV -1.5
LCK,2026-05-24,Gen.G vs DN SOOPers,25,29.5,28.5,-1.05,UNDER,-4.5,4.5,false,0.866,SUP Seraphine -2.24 | MID Ryze -2.05 | JUNGLE Skarner -1.84 | ADC Ashe -1.81 | JUNGLE Lee Sin +1.76
LCK,2026-05-24,Gen.G vs DN SOOPers,20,28.5,27.5,-0.65,NEUTRO,-8.5,8.5,false,0.815,ADC Lucian -2.34 | SUP Nami -1.97 | SUP Milio -1.95 | MID Akali +0.51 | JUNGLE Maokai -0.42
LCK,2026-05-24,T1 vs HANJIN BRION,18,29.5,29.5,0.39,NEUTRO,-11.5,11.5,false,0.837,JUNGLE Lee Sin +2.19 | SUP Pyke +2.05 | TOP Rumble +1.55 | MID Ryze -1.4 | SUP Lux +1.2
LCK,2026-05-24,T1 vs HANJIN BRION,29,27.5,27.5,-0.72,NEUTRO,1.5,1.5,true,0.89,ADC Lucian -1.66 | SUP Milio -1.31 | SUP Seraphine -1.11 | JUNGLE Xin Zhao -0.79 | ADC Ashe -0.71
LPL,2026-05-08,JD Gaming vs Bilibili Gaming,35,25.5,26.5,1.09,OVER,9.5,9.5,true,0.852,ADC Miss Fortune +2.8 | JUNGLE Pantheon +1.94 | TOP Rumble +1.73 | MID Viktor +1.37 | TOP KSante -1.32
LPL,2026-05-09,Invictus Gaming vs Ninjas in Pyjamas,24,25.5,27.5,1.64,OVER,-1.5,1.5,false,0.88,MID Orianna +2.8 | ADC Jhin +2.8 | MID Akali +2.37 | JUNGLE Vi +1.04 | TOP Sion +0.94
LPL,2026-05-09,Ninjas in Pyjamas vs Invictus Gaming,27,25.5,26.5,1.07,OVER,1.5,1.5,true,0.895,ADC Ashe +2.8 | SUP Seraphine +2.67 | TOP Gnar +1.16 | JUNGLE Xin Zhao +1.13 | MID Ryze +0.83
LPL,2026-05-09,Team WE vs Top Esports,32,26.5,27.5,1.44,OVER,5.5,5.5,true,0.898,ADC Jhin +2.8 | TOP Jayce +1.63 | JUNGLE Lee Sin +1.51 | JUNGLE Jarvan IV +1.42 | TOP KSante -1.36
LPL,2026-05-09,Team WE vs Top Esports,21,26.5,26.5,-0.09,NEUTRO,-5.5,5.5,false,0.896,SUP Milio -2.8 | ADC Lucian -2.12 | JUNGLE Pantheon +1.54 | TOP Aatrox +1.11 | TOP Ambessa +0.89
